date,word,language,month,Leo_months,en_word
2020-08-07,Mama,neutral,2020-08,9,Mama
2020-09-24,agua,spanish,2020-09,11,Water
2020-10-07,Abuela,spanish,2020-10,11,Grandmother
2020-10-31,luna,spanish,2020-10,12,Moon
2020-11-05,Banane,german,2020-11,12,banana
2020-11-15,Pepe,neutral,2020-11,12,Pepe
2020-11-18,Ball,german,2020-11,13,ball
2020-11-22,más,spanish,2020-11,13,plus
2020-11-23,no,spanish,2020-11,13,No
2020-11-24,Mami,neutral,2020-11,13,Mami
2020-12-01,luz,spanish,2020-12,13,light
2020-12-04,Auge,german,2020-12,13,Eye
2020-12-10,ups,neutral,2020-12,13,ups
2020-12-13,lechita,spanish,2020-12,13,milk
2020-12-15,este,spanish,2020-12,13,East
2020-12-15,heiß,german,2020-12,13,hot
2020-12-17,hola,spanish,2020-12,13,hello
2020-12-22,nein,german,2020-12,14,no
2020-12-29,Marta,neutral,2020-12,14,Marta
2021-01-05,Juljul,neutral,2021-01,14,Juljul
2021-01-06,das,german,2021-01,14,the
2021-01-06,más,spanish,2021-01,14,plus
2021-01-08,árbol,spanish,2021-01,14,tree
2021-01-13,boca,spanish,2021-01,14,mouth
2021-01-14,kaputt,german,2021-01,14,broken
2021-01-22,tschüss,german,2021-01,15,bye Bye
2021-01-25,wow,neutral,2021-01,15,wow
2021-01-25,zu,german,2021-01,15,to
2021-01-26,Bob,neutral,2021-01,15,Bob
2021-01-27,leche,spanish,2021-01,15,milk
2021-01-28,Bretzel,german,2021-01,15,Bretzel
2021-01-31,boobie,neutral,2021-01,15,boobie
2021-02-01,sol,spanish,2021-02,15,sun
2021-02-02,zapato,spanish,2021-02,15,shoe
2021-02-03,Rieke,neutral,2021-02,15,Rieke
2021-02-04,Aqui’sta,spanish,2021-02,15,Here
2021-02-06,uva,spanish,2021-02,15,grape
2021-02-08,azul,spanish,2021-02,15,blue
2021-02-09,niña,spanish,2021-02,15,little girl
2021-02-14,Hüpf,german,2021-02,15,Bouncing
2021-02-14,Achtung,german,2021-02,15,danger
2021-02-15,Bravo,neutral,2021-02,15,Bravo
2021-02-15,Oma,german,2021-02,15,granny
2021-02-17,Nase,german,2021-02,16,Nose
2021-02-20,Spieli,german,2021-02,16,Game
2021-02-21,Licht,german,2021-02,16,light
2021-02-22,gracias,spanish,2021-02,16,Thank you
2021-02-22,corazón,spanish,2021-02,16,heart
2021-02-23,ja,german,2021-02,16,Yes
2021-02-23,otro,spanish,2021-02,16,other
2021-02-26,casa,spanish,2021-02,16,House
2021-03-08,papa,spanish,2021-03,16,dad
2021-03-09,Leo,neutral,2021-03,16,Leo
2021-03-09,gut,german,2021-03,16,Well
2021-03-10,Hallo,german,2021-03,16,Hi
2021-03-10,pompa,spanish,2021-03,16,pomp
2021-03-11,Mario,neutral,2021-03,16,Mario
2021-03-13,Sushi,neutral,2021-03,16,Sushi
2021-03-13,nube,spanish,2021-03,16,cloud
2021-03-14,te,spanish,2021-03,16,tea
2021-03-14,Moni,neutral,2021-03,16,Moni
2021-03-15,bubbles,neutral,2021-03,16,bubbles
2021-03-15,cielo,spanish,2021-03,16,darling
2021-03-16,tres,spanish,2021-03,16,three
2021-03-17,muchacho,spanish,2021-03,16,young guy
2021-03-18,calcetín,spanish,2021-03,16,sock
2021-03-19,Apfel,german,2021-03,16,Apple
2021-03-19,pulpo,spanish,2021-03,16,octopus
2021-03-20,Jonas,neutral,2021-03,17,Jonas
2021-03-22,asi,spanish,2021-03,17,So
2021-03-22,ok,neutral,2021-03,17,ok
2021-03-22,chiquito,spanish,2021-03,17,tiny
2021-03-23,Noam,neutral,2021-03,17,Noam
2021-03-24,Nicola,neutral,2021-03,17,Nicola
2021-03-26,ahjö,german,2021-03,17,Ahjö
2021-03-27,fuego,spanish,2021-03,17,fire
2021-03-27,Lotte,neutral,2021-03,17,Lotte
2021-03-30,queso,spanish,2021-03,17,cheese
2021-03-31,bici,spanish,2021-03,17,bike
2021-03-31,Katrin,neutral,2021-03,17,Katrin
2021-04-02,si,spanish,2021-04,17,Yes
2021-04-02,Blume,german,2021-04,17,flower
2021-04-03,Pizza,german,2021-04,17,Pizza
2021-04-04,Pasta,german,2021-04,17,pasta
2021-04-06,Markus,neutral,2021-04,17,Markus
2021-04-08,Schlüssel,german,2021-04,17,key
2021-04-10,Fritzi,neutral,2021-04,17,Fritzi
2021-04-11,Auerhahn,german,2021-04,17,Auerhahn
2021-04-11,Chu,neutral,2021-04,17,Chu
2021-04-12,Popo,german,2021-04,17,Buttocks
2021-04-13,Abi,neutral,2021-04,17,Abi
2021-04-13,caca,neutral,2021-04,17,caca
2021-04-15,Barbara,neutral,2021-04,17,Barbara
2021-04-16,Schuh,german,2021-04,17,shoe
2021-04-17,Chrisi,neutral,2021-04,17,Chrisi
2021-04-17,naranja,spanish,2021-04,17,orange
2021-04-17,Auto,german,2021-04,17,automobile
2021-04-19,Mühlabfur,german,2021-04,18,Garbage disposal
2021-04-21,rojo,spanish,2021-04,18,red
2021-04-21,essen,german,2021-04,18,meal
2021-04-22,Wasser,german,2021-04,18,water
2021-04-22,Joghurt,spanish,2021-04,18,Joghurt
2021-04-22,runter,german,2021-04,18,down
2021-04-23,Abuelo,spanish,2021-04,18,Grandfather
2021-04-23,Cashew,german,2021-04,18,Cashew
2021-04-24,Ana,neutral,2021-04,18,Ana
2021-04-24,Taylor,neutral,2021-04,18,Taylor
2021-04-24,Ohr,german,2021-04,18,Ear
2021-04-24,casco,spanish,2021-04,18,helmet
2021-04-25,cariñito,spanish,2021-04,18,Cariñito
2021-04-25,da,german,2021-04,18,there
2021-04-26,Lina,neutral,2021-04,18,Lina
2021-04-26,pan,spanish,2021-04,18,bread
2021-04-27,sopa,spanish,2021-04,18,Soup
2021-04-29,anillo,spanish,2021-04,18,ring
2021-04-29,Sonja,neutral,2021-04,18,Sonja
2021-04-30,aguacate,spanish,2021-04,18,avocado
2021-04-30,bye,neutral,2021-04,18,bye
2021-04-30,Tio,neutral,2021-04,18,Tio
2021-04-30,listo,spanish,2021-04,18,clever
2021-04-30,pie,spanish,2021-04,18,foot
2021-04-30,lentes,spanish,2021-04,18,glasses
2021-05-01,Fisch,german,2021-05,18,Fish
2021-05-01,huevo,spanish,2021-05,18,egg
2021-05-01,sucio,spanish,2021-05,18,dirty
2021-05-01,nass,german,2021-05,18,wet
2021-05-01,silla,spanish,2021-05,18,chair
2021-05-02,limón,spanish,2021-05,18,lemon
2021-05-02,Baum,german,2021-05,18,tree
2021-05-02,Kirsch,german,2021-05,18,Cherry
2021-05-02,adiós,spanish,2021-05,18,bye
2021-05-02,Handy,german,2021-05,18,mobile
2021-05-02,Tipi,german,2021-05,18,Tipi
2021-05-03,blau,spanish,2021-05,18,Blau
2021-05-04,kalt,spanish,2021-05,18,Kalt
2021-05-04,mira,spanish,2021-05,18,look
2021-05-04,flamingo,spanish,2021-05,18,Flamingo
2021-05-04,Marin,neutral,2021-05,18,Marin
2021-05-05,lluvia,spanish,2021-05,18,rain
2021-05-06,Hand,german,2021-05,18,hand
2021-05-06,weich,german,2021-05,18,soft
2021-05-07,mesa,spanish,2021-05,18,table
2021-05-07,auf,german,2021-05,18,on
2021-05-07,lecker,german,2021-05,18,yummy
2021-05-07,Peter,neutral,2021-05,18,Peter
2021-05-08,an,german,2021-05,18,on
2021-05-08,super,german,2021-05,18,great
2021-05-09,Lisa,neutral,2021-05,18,Lisa
2021-05-09,mano,spanish,2021-05,18,hand
2021-05-09,crema,spanish,2021-05,18,cream
2021-05-10,ojo,spanish,2021-05,18,eye
2021-05-10,sopa,spanish,2021-05,18,Soup
2021-05-10,Mais,german,2021-05,18,Corn
2021-05-11,verde,spanish,2021-05,18,green
2021-05-11,piña,spanish,2021-05,18,pineapple
2021-05-11,pipí,spanish,2021-05,18,pee
2021-05-11,Dino,german,2021-05,18,Dino
2021-05-12,ciao,spanish,2021-05,18,ciao
2021-05-12,sucio,spanish,2021-05,18,dirty
2021-05-12,AyDios,spanish,2021-05,18,Oh my God
2021-05-12,verde,spanish,2021-05,18,green
2021-05-12,planta,spanish,2021-05,18,plant
2021-05-12,amarillo,spanish,2021-05,18,yellow
2021-05-12,ropa,spanish,2021-05,18,clothing
2021-05-12,Ananas,german,2021-05,18,pineapple
2021-05-12,penis,spanish,2021-05,18,Penis
2021-05-13,Garage,german,2021-05,18,garage
2021-05-13,auch,german,2021-05,18,also
2021-05-13,Tase,german,2021-05,18,Snack
